Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
1000000,211,2020,11,7,6,0.002005,6,1,0,0,0
1000000,211,2020,11,5,4,0.007432,8,0,1,0,0
1000000,211,2020,11,4,3,0.004661,4,1,0,0,0
1000000,211,2020,11,3,2,0.007961,7,0,1,0,0
1000000,211,2020,11,3,2,0.003252,4,1,0,0,0
1000000,211,2020,11,2,1,0.008099,6,1,0,0,0
1000000,211,2020,11,1,7,0.002326,5,1,0,0,0
1000000,211,2020,10,30,5,0.04062,4,0,0,0,1
1000000,211,2020,10,29,4,0.006924,6,1,0,0,0
1000000,211,2020,10,29,4,0.004671,3,0,0,0,1
1000000,211,2020,10,29,4,0.003705,3,0,0,0,1
1000000,211,2020,10,28,3,0.009476,4,0,0,0,1
1000000,211,2020,10,27,2,0.006581,4,0,0,0,1
1000000,211,2020,10,27,2,0.008534,7,0,0,0,1
1000000,211,2020,10,26,1,0.008622,5,1,0,0,0
1000000,211,2020,10,25,7,0.009702,1,0,0,0,1
1000000,211,2020,10,23,5,0.00918,4,0,0,0,1
1000000,211,2020,10,23,5,0.007255,7,0,0,0,1
1000000,211,2020,10,22,4,0.003817,7,0,0,0,1
1000000,211,2020,10,22,4,0.013116,10,0,0,0,1
1000000,211,2020,10,21,3,0.003458,13,0,0,0,1
1000000,211,2020,10,21,3,0.003358,11,0,0,0,1
1000000,211,2020,10,20,2,0.011747,5,1,0,0,0
1000000,211,2020,10,20,2,0.008611,7,0,0,0,1
1000000,211,2020,10,19,1,0.023311,6,0,0,0,1
651100,3,2020,11,7,6,0.0045031485178927,10,0,1,0,0
651100,3,2020,11,5,4,0.0676424512363692,10,1,0,0,0
651100,3,2020,10,30,5,0.0814237444324988,3,0,1,0,0
2500000,62,2020,10,17,6,0.0103308,1,1,0,0,0
2500000,62,2020,9,6,7,0.0939432,1,1,0,0,0
2500000,62,2020,6,26,5,0.0142248,1,0,1,0,0
2500000,62,2020,2,21,5,0.0207528,2,0,1,0,0
2500000,62,2020,2,14,5,0.0256028,3,0,0,1,0
2500000,62,2019,10,28,1,0.0259732,2,0,0,1,0
2500000,62,2019,9,29,7,0.0141148,0,1,0,0,0
2500000,62,2019,9,28,6,0.022092,0,0,0,1,0
2500000,62,2019,9,20,5,0.0079896,1,0,0,1,0
2500000,62,2019,8,31,6,0.0080204,0,0,1,0,0
2500000,62,2019,8,25,7,0.0109536,0,1,0,0,0
2500000,62,2019,8,25,7,0.0114048,0,1,0,0,0
2500000,62,2019,8,4,7,0.0062712,0,0,0,1,0
2500000,62,2019,8,3,6,0.0053972,0,0,1,0,0
2500000,62,2019,7,26,5,0.0081564,0,0,0,1,0
2500000,62,2019,6,5,3,0.0044968,1,0,0,0,1
2500000,62,2019,6,5,3,0.0048492,0,0,0,1,0
2500000,62,2019,6,5,3,0.0040748,0,0,0,1,0
2500000,62,2019,6,5,3,0.0061832,0,0,0,1,0
2500000,62,2015,12,17,4,0.0414088,0,0,0,1,0
2500000,62,2015,12,1,2,0.032472,1,1,0,0,0
