Video Length,Shares,Comments,Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Total Engagement,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
8,3,18,1000000,211,2020,11,7,6,2005,0.002005,6,1,0,0,0
6,9,51,1000000,211,2020,11,5,4,7432,0.007432,8,0,1,0,0
5,11,27,1000000,211,2020,11,4,3,4661,0.004661,4,1,0,0,0
6,6,24,1000000,211,2020,11,3,2,7961,0.007961,7,0,1,0,0
15,9,14,1000000,211,2020,11,3,2,3252,0.003252,4,1,0,0,0
23,24,54,1000000,211,2020,11,2,1,8099,0.008099,6,1,0,0,0
15,4,19,1000000,211,2020,11,1,7,2326,0.002326,5,1,0,0,0
33,395,325,1000000,211,2020,10,30,5,40620,0.04062,4,0,0,0,1
25,40,95,1000000,211,2020,10,29,4,6924,0.006924,6,1,0,0,0
16,42,33,1000000,211,2020,10,29,4,4671,0.004671,3,0,0,0,1
16,12,27,1000000,211,2020,10,29,4,3705,0.003705,3,0,0,0,1
10,20,50,1000000,211,2020,10,28,3,9476,0.009476,4,0,0,0,1
24,34,128,1000000,211,2020,10,27,2,6581,0.006581,4,0,0,0,1
11,53,65,1000000,211,2020,10,27,2,8534,0.008534,7,0,0,0,1
19,15,48,1000000,211,2020,10,26,1,8622,0.008622,5,1,0,0,0
7,15,41,1000000,211,2020,10,25,7,9702,0.009702,1,0,0,0,1
5,29,44,1000000,211,2020,10,23,5,9180,0.00918,4,0,0,0,1
52,84,114,1000000,211,2020,10,23,5,7255,0.007255,7,0,0,0,1
18,15,32,1000000,211,2020,10,22,4,3817,0.003817,7,0,0,0,1
15,79,337,1000000,211,2020,10,22,4,13116,0.013116,10,0,0,0,1
24,9,27,1000000,211,2020,10,21,3,3458,0.003458,13,0,0,0,1
35,20,22,1000000,211,2020,10,21,3,3358,0.003358,11,0,0,0,1
12,29,118,1000000,211,2020,10,20,2,11747,0.011747,5,1,0,0,0
23,30,38,1000000,211,2020,10,20,2,8611,0.008611,7,0,0,0,1
60,121,190,1000000,211,2020,10,19,1,23311,0.023311,6,0,0,0,1
9,4,230,651100,3,2020,11,7,6,2932,0.0045031485178927,10,0,1,0,0
9,189,1053,651100,3,2020,11,5,4,44042,0.0676424512363692,10,1,0,0,0
17,372,2843,651100,3,2020,10,30,5,53015,0.0814237444324988,3,0,1,0,0
24,39,488,2500000,62,2020,10,17,6,25827,0.0103308,1,1,0,0,0
15,2657,2401,2500000,62,2020,9,6,7,234858,0.0939432,1,1,0,0,0
15,1542,2162,2500000,62,2020,7,24,5,418704,0.1674816,3,1,0,0,0
59,180,382,2500000,62,2020,6,26,5,35562,0.0142248,1,0,1,0,0
29,336,346,2500000,62,2020,2,21,5,51882,0.0207528,2,0,1,0,0
15,227,180,2500000,62,2020,2,14,5,64007,0.0256028,3,0,0,1,0
9,2789,1129,2500000,62,2020,2,6,4,279518,0.1118072,0,0,1,0,0
8,12500,1913,2500000,62,2020,2,6,4,628813,0.2515252,0,0,1,0,0
15,290,243,2500000,62,2019,10,28,1,64933,0.0259732,2,0,0,1,0
13,267,120,2500000,62,2019,9,29,7,35287,0.0141148,0,1,0,0,0
15,675,255,2500000,62,2019,9,28,6,55230,0.022092,0,0,0,1,0
7,26,48,2500000,62,2019,9,20,5,19974,0.0079896,1,0,0,1,0
14,268,83,2500000,62,2019,8,31,6,20051,0.0080204,0,0,1,0,0
7,585,199,2500000,62,2019,8,25,7,27384,0.0109536,0,1,0,0,0
8,284,128,2500000,62,2019,8,25,7,28512,0.0114048,0,1,0,0,0
19,138,40,2500000,62,2019,8,4,7,15678,0.0062712,0,0,0,1,0
15,119,74,2500000,62,2019,8,3,6,13493,0.0053972,0,0,1,0,0
48,398,93,2500000,62,2019,7,26,5,20391,0.0081564,0,0,0,1,0
30,89,53,2500000,62,2019,6,5,3,11242,0.0044968,1,0,0,0,1
59,169,54,2500000,62,2019,6,5,3,12123,0.0048492,0,0,0,1,0
30,139,48,2500000,62,2019,6,5,3,10187,0.0040748,0,0,0,1,0
